"quant","year","unit","season","area","iter","data"
"all",1990,"unique","1","unique","1",0
"all",1991,"unique","1","unique","1",0
"all",1992,"unique","1","unique","1",0
"all",1993,"unique","1","unique","1",0
"all",1994,"unique","1","unique","1",0
"all",1995,"unique","1","unique","1",0
"all",1996,"unique","1","unique","1",0
"all",1997,"unique","1","unique","1",0
"all",1998,"unique","1","unique","1",0
"all",1999,"unique","1","unique","1",0
"all",2000,"unique","1","unique","1",0
"all",2001,"unique","1","unique","1",7237
"all",2002,"unique","1","unique","1",7237
"all",2003,"unique","1","unique","1",7369
"all",2004,"unique","1","unique","1",8729
"all",2005,"unique","1","unique","1",9355
"all",2006,"unique","1","unique","1",10532
"all",2007,"unique","1","unique","1",3430
"all",2008,"unique","1","unique","1",12423
"all",1990,"unique","2","unique","1",0
"all",1991,"unique","2","unique","1",0
"all",1992,"unique","2","unique","1",0
"all",1993,"unique","2","unique","1",0
"all",1994,"unique","2","unique","1",0
"all",1995,"unique","2","unique","1",0
"all",1996,"unique","2","unique","1",0
"all",1997,"unique","2","unique","1",0
"all",1998,"unique","2","unique","1",0
"all",1999,"unique","2","unique","1",0
"all",2000,"unique","2","unique","1",0
"all",2001,"unique","2","unique","1",7237
"all",2002,"unique","2","unique","1",7237
"all",2003,"unique","2","unique","1",7369
"all",2004,"unique","2","unique","1",8729
"all",2005,"unique","2","unique","1",9355
"all",2006,"unique","2","unique","1",10532
"all",2007,"unique","2","unique","1",9730
"all",2008,"unique","2","unique","1",12423
"all",1990,"unique","3","unique","1",0
"all",1991,"unique","3","unique","1",0
"all",1992,"unique","3","unique","1",0
"all",1993,"unique","3","unique","1",0
"all",1994,"unique","3","unique","1",0
"all",1995,"unique","3","unique","1",0
"all",1996,"unique","3","unique","1",0
"all",1997,"unique","3","unique","1",0
"all",1998,"unique","3","unique","1",0
"all",1999,"unique","3","unique","1",0
"all",2000,"unique","3","unique","1",0
"all",2001,"unique","3","unique","1",7237
"all",2002,"unique","3","unique","1",7237
"all",2003,"unique","3","unique","1",7369
"all",2004,"unique","3","unique","1",8729
"all",2005,"unique","3","unique","1",9355
"all",2006,"unique","3","unique","1",10532
"all",2007,"unique","3","unique","1",9730
"all",2008,"unique","3","unique","1",12423
"all",1990,"unique","4","unique","1",0
"all",1991,"unique","4","unique","1",0
"all",1992,"unique","4","unique","1",0
"all",1993,"unique","4","unique","1",0
"all",1994,"unique","4","unique","1",0
"all",1995,"unique","4","unique","1",0
"all",1996,"unique","4","unique","1",0
"all",1997,"unique","4","unique","1",0
"all",1998,"unique","4","unique","1",0
"all",1999,"unique","4","unique","1",0
"all",2000,"unique","4","unique","1",0
"all",2001,"unique","4","unique","1",7237
"all",2002,"unique","4","unique","1",7237
"all",2003,"unique","4","unique","1",7369
"all",2004,"unique","4","unique","1",8729
"all",2005,"unique","4","unique","1",9355
"all",2006,"unique","4","unique","1",10532
"all",2007,"unique","4","unique","1",9730
"all",2008,"unique","4","unique","1",4807
